Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,Soviet Union,1988,?,53,?,MiG-23MS,fighter aircraft,53,?,1988; 1989; 1990,New,,13,689,689
Afghanistan,Soviet Union,1964,?,9,?,P-12,air search radar,9,?,1965; 1966; 1967,New,Incl for use with S-75 (SA-2) SAM systems,4.5,40.5,40.5
Afghanistan,Soviet Union,1965,?,2,?,P-15,air search radar,2,?,1966; 1967,New,For use with S-75 (SA-2) SAM systems,4.5,9,9
Afghanistan,Soviet Union,1964,?,9,?,PRV-11,height-finding radar,9,?,1965; 1966; 1967,New,For use with S-75 (SA-2) SAM systems,4,36,36
Afghanistan,Soviet Union,1958,?,50,?,PT-76,light tank,50,?,1959; 1960; 1961,New,,0.9,45,45
Afghanistan,Soviet Union,1988,?,2300,?,R-17 Elbrus,SSM,2300,?,1988; 1989; 1990; 1991,New,Mainly for use against Mujahideen rebel forces,1.25,2875,2875
Afghanistan,Soviet Union,1988,?,225,?,R-23,SRAAM,225,?,1988; 1989; 1990,New,For MiG-23MF combat aircraft,0.12,27,27
Afghanistan,Soviet Union,1988,?,250,?,R-60,SRAAM,250,?,1988; 1989; 1990,New,For MiG-23MF and MiG-21bis combat aircraft,0.09,22.5,22.5
Afghanistan,Soviet Union,1982,?,8,,S-125 Pechora,SAM system,8,?,1983; 1984,New,,17.5,140,140
Afghanistan,Soviet Union,1965,?,6,,S-75 Dvina,SAM system,6,?,1966; 1967,New,,17.87,107.22,107.22
Afghanistan,Soviet Union,1961,?,250,?,Shmel,anti-tank missile,250,?,1962; 1963; 1964,New,,0.01,2.5,2.5
Afghanistan,Soviet Union,1986,?,16,?,Strela-10,mobile SAM system,16,?,1987; 1988,New,Possibly Second-hand,1.25,20,20
Afghanistan,Soviet Union,1985,?,100,?,Strela-3,portable SAM,100,?,1986; 1987; 1988; 1989,New,Probably incl for Mi-24 combat helicopters,0.06,6,6
Afghanistan,Soviet Union,1978,,20,?,Su-20,FGA aircraft,20,?,1979; 1980; 1981; 1982; 1983; 1984; 1985,New,,12,240,240
Afghanistan,Soviet Union,1985,?,36,?,Su-22,FGA aircraft,36,?,1986; 1987; 1988; 1989; 1990,New,,13,468,468
Afghanistan,Soviet Union,1978,,10,?,Su-7B,FGA aircraft,10,?,1978,Second hand,Second-hand,2.5,25,25
Afghanistan,Soviet Union,1970,?,38,?,Su-7B,FGA aircraft,38,?,1971; 1972,New,Possibly second-hand; incl some Su-7U trainer/combat version,6.25,237.5,237.5
Afghanistan,Soviet Union,1955,?,25,?,T-34-85,tank,25,?,1956; 1957; 1958,Second hand,Second-hand,0.38,9.5,9.5
Afghanistan,Soviet Union,1978,,150,?,T-34-85,tank,150,?,1978; 1979,Second hand,Second-hand,0.38,57,57
Afghanistan,Soviet Union,1961,?,50,?,T-54,tank,50,?,1962; 1963; 1964,Second hand,Second-hand,0.44,22,22
Afghanistan,Soviet Union,1978,,200,?,T-54,tank,200,?,1978; 1979,Second hand,Second-hand,0.44,88,88
Afghanistan,Soviet Union,1961,?,50,?,T-55,tank,50,?,1962; 1963; 1964,New,,1.25,62.5,62.5
