Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Latvia,Austria,2017,,47,,M-109A5 155mm,self-propelled gun,47,?,2017; 2018,Second hand,Second-hand,0.5,23.5,23.5
Lesotho,Australia,2003,?,1,,GA-8 Airvan,light transport aircraft,1,,2004,New,,0.24,0.24,0.24
Libya,Austria,2009,,4,,Camcopter S-100,UAV,4,,2011,New,,0.2,0.8,0.8
Libya,Austria,1987,?,30,,GC-45 155mm,towed gun,30,,1987,New,Originally ordered by Brazil; but finally delivered to Libya,1,30,30
Malaysia,Austria,2018,?,2,?,Camcopter S-100,UAV,2,?,2018,New,,0.2,0.4,0.4
Malaysia,Australia,2000,?,3,,Eagle-ARV,light aircraft/UAV,3,,2001,New,For 1 Eagle-ARV UAV system,0.23,0.69,0.69
Malaysia,Australia,1969,,10,,F-86 Sabre,fighter aircraft,10,,1969,Second hand but modernized,Second-hand but modernized before delivery; aid; CAC-27/Sabre Mk-32 version,2.31,23.1,23.1
Malaysia,Australia,1970,?,6,,F-86 Sabre,fighter aircraft,6,,1971,Second hand but modernized,Second-hand but modernized before delivery; aid; CAC-27/Sabre Mk-32 version,2.31,13.86,13.86
Marshall Islands,Australia,1989,,1,,ASI-315,patrol craft,1,,1991,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Marshall Islands designation Lomor,6,6,6
Marshall Islands,Australia,2014,,1,,Guardian,patrol craft,0,,,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; delivery planned 2024,7,7,0
Micronesia,Australia,1989,,2,,ASI-315,patrol craft,2,,1990,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Micronesian designation Palikir,6,12,12
Micronesia,Australia,1997,,1,,ASI-315,patrol craft,1,,1997,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Micronesian designation Palikir,6,6,6
Micronesia,Australia,2014,,2,,Guardian,patrol craft,2,,2022; 2023,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,14,14
Mongolia,Australia,2022,?,2,,EC145,light helicopter,2,,2022,Second hand,Second-hand,1.3,2.6,2.6
Morocco,Austria,1978,?,11,,Greif,ARV,11,,1979,New,,0.75,8.25,8.25
Morocco,Austria,1978,?,109,,SK-105 Kurassier,light tank,109,?,1979; 1980,New,,0.7,76.3,76.3
Montenegro,Austria,2014,,4,?,Survivor-2,APC,4,?,2015,New,,0.32,1.28,1.28
Myanmar,Austria,2017,,5,?,Camcopter S-100,UAV,5,?,2018,New,EUR87 m deal,0.2,1,1
Myanmar,Austria,2017,?,11,?,DART,trainer aircraft,6,?,2019; 2020; 2021,New,DART-450 version; assembled or produced under licence in Myanmar,0.3,3.3,1.8
Nepal,Australia,1970,?,2,?,C-47 Skytrain,transport aircraft,2,?,1971,Second hand,Second-hand; incl 1 for VIP transport,1,2,2
Netherlands,Australia,2006,,25,,Bushmaster,APC,25,,2006,New,EUR25 m ($32 m) deal; for use in Afghanistan,0.32,8,8
