Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
AZE,Russia,2010,?,66,?,Mi-17,transport helicopter,66,?,2010; 2011; 2012; 2013; 2014; 2015,New,Incl 20 for border guard and 6 for police,7.25,478.5,478.5
AZE,Russia,2010,,24,,Mi-35M,combat helicopter,24,?,2011; 2012; 2013; 2014,New,$360 m deal; Mi-35M version (possibly second-hand Mi-24 rebuilt to Mi-35M),11.5,276,276
AZE,Russia,2010,,2,,S-300PMU2 Favorit,SAM system,2,?,2011,New,$300 m deal,55,110,110
AZE,Russia,2011,?,18,?,BM-9A52 Smerch,self-propelled MRL,18,?,2012; 2013; 2014,New,,1.2,21.6,21.6
AZE,Russia,2006,?,62,?,T-72M1,tank,62,?,2007,Second hand,Probably second-hand,1.04,64.48,64.48
AZE,Russia,2011,,100,?,T-90S,tank,100,,2013; 2014; 2015,New,,4,400,400
AZE,Russia,2011,?,36,?,TOS-1,self-propelled MRL,36,?,2013; 2014; 2015; 2016; 2017,New,,1.2,43.2,43.2
AZE,South Africa,2009,,25,,Marauder,APC,25,?,2009; 2010; 2011,New,Incl assembly in Azerbaijan,0.22,5.5,5.5
AZE,South Africa,2011,,30,,Marauder,APC,30,?,2012,New,Assembled in Azerbaijan,0.22,6.6,6.6
AZE,South Africa,2012,,30,?,Marauder,APC,30,?,2013; 2014; 2015,New,Assembled in Azerbaijan,0.22,6.6,6.6
AZE,South Africa,2009,,25,,Matador,APC,25,?,2010; 2011,New,Incl assembly in Azerbaijan,0.32,8,8
AZE,South Africa,2011,,35,?,Matador,APC,35,?,2012; 2015,New,Incl. assembly in Azerbaijan,0.32,11.2,11.2
AZE,South Africa,2007,,10,?,Vector,helicopter turret,10,?,2009; 2010,New,For modernization of Azerbaijani Mi-24 to Mi-24G in Ukraine,0.5,5,5
AZE,Slovakia,2012,?,36,?,DANA 152mm,self-propelled gun,36,?,2017; 2018,Second hand but modernized,Second-hand; refurbished before delivery,0.66,23.76,23.76
AZE,Slovakia,2002,?,1,?,T-72M1,tank,1,,2002,Second hand,Second-hand,1.04,1.04,1.04
AZE,Spain,2018,?,1,?,Lanza-LTR,air search radar,1,?,2019,New,Lanza-LTR-25 version,13,13,13
AZE,Turkiye,2000,?,1,,AB-25,patrol craft,1,,2000,Second hand,Second-hand,3.4,3.4,3.4
AZE,Turkiye,2022,?,2,?,Akinci,armed UAV,2,?,2023,New,,4.5,9,9
AZE,Turkiye,2020,?,12,?,Bayraktar TB2,armed UAV,12,?,2020,New,,2.4,28.8,28.8
AZE,Turkiye,2010,,35,,Cobra,APV,35,?,2010; 2011,New,Part of $21 m or $30 m deal,0.15,5.25,5.25
AZE,Turkiye,2022,,12,?,Cobra-2,APC,12,?,2022,New,,0.25,3,3
AZE,Turkiye,2021,?,109,?,KGK-83,guided glide bomb,109,?,2022,New,,0.15,16.35,16.35
AZE,Turkiye,2017,?,10,?,SOM,ASM,10,?,2018; 2019,New,SOM-B1 version,1.1,11,11
AZE,Turkiye,2010,?,30,?,T-107 107mm,self-propelled MRL,30,?,2011; 2012; 2013,New,Part of $244 m deal,0.2,6,6
AZE,Turkiye,2010,,40,?,T-122/300,self-propelled MRL,40,?,2012; 2013; 2014,New,Part of $244 m deal,1.1,44,44
AZE,Turkiye,2015,,20,?,T-300,self-propelled MRL,20,?,2015; 2016,New,Part of $244 m deal,1.1,22,22
AZE,Turkiye,2015,,108,?,TRG-300,guided rocket,108,?,2016; 2017,New,For T-300 and or T-122/300 MRL,0.1,10.8,10.8
AZE,Turkiye,2010,,37,,ZPT,APV,37,?,2010; 2011,New,Part of $21 m or $30 m deal,0.11,4.07,4.07
AZE,Ukraine,2007,?,54,?,2S1 122mm,self-propelled gun,54,,2008; 2009; 2010,Second hand,Second-hand,0.36,19.44,19.44
AZE,Ukraine,2008,?,16,?,2S3 152mm,self-propelled gun,16,,2009; 2010,Second hand,Second-hand,0.4,6.4,6.4
