Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
Chile,Brooklyn,cruiser,Ships,1951,No,2,No,1951,No,Second hand,300,120,240,No
Chile,C-130B Hercules,transport aircraft,Aircraft,1991,No,1,No,1991,No,Second hand,23,9.2,9.2,No
Chile,C-130B Hercules,transport aircraft,Aircraft,1991,No,3,No,1992,No,Second hand,23,9.2,27.6,No
Chile,C-130H Hercules,transport aircraft,Aircraft,1971,Yes,1,No,1973,No,New,28,28,28,No
Chile,C-130H Hercules,transport aircraft,Aircraft,1971,No,1,No,1972,No,New,28,28,28,No
Chile,C-130H Hercules,transport aircraft,Aircraft,2019,No,2,No,2021,No,Second hand,28,11.2,22.4,No
Chile,C-47,transport aircraft,Aircraft,1953,Yes,5,Yes,1955,Yes,Second hand,2.5,1,5,No
Chile,C-47,transport aircraft,Aircraft,1953,Yes,2,Yes,1956,Yes,Second hand,2.5,1,2,No
Chile,C-47,transport aircraft,Aircraft,1953,Yes,3,Yes,1953,No,Second hand,2.5,1,3,No
Chile,C-47,transport aircraft,Aircraft,1959,Yes,4,Yes,1960,Yes,Second hand,2.5,1,4,No
Chile,C-47,transport aircraft,Aircraft,1963,Yes,3,Yes,1965,Yes,Second hand,2.5,1,3,No
Chile,C-47,transport aircraft,Aircraft,1968,Yes,4,No,1969,No,Second hand,2.5,1,4,No
Chile,C-47,transport aircraft,Aircraft,1968,Yes,1,No,1970,No,Second hand,2.5,1,1,No
Chile,Cessna-172,trainer/light aircraft,Aircraft,1978,No,18,No,1978,No,New,0.1,0.1,1.8,No
Chile,Cessna-172,trainer/light aircraft,Aircraft,1973,Yes,8,Yes,1974,No,New,0.1,0.1,0.8,No
Chile,Cessna-172,trainer/light aircraft,Aircraft,2014,No,2,No,2015,No,New,0.1,0.1,0.2,No
Chile,Cessna-180 Skywagon,light aircraft,Aircraft,1954,Yes,10,Yes,1956,Yes,New,0.18,0.18,1.8,No
Chile,Cessna-208 Caravan,light transport aircraft,Aircraft,1997,Yes,8,No,1998,No,New,1,1,8,No
Chile,Cessna-310,light transport aircraft,Aircraft,1970,Yes,14,No,1972,No,New,0.35,0.35,4.9,No
Chile,Cessna-337,light aircraft,Aircraft,1979,No,1,No,1979,No,New,0.35,0.35,0.35,No
Chile,Cessna-337,light aircraft,Aircraft,1979,No,2,No,1980,No,New,0.35,0.35,0.7,No
Chile,Cessna-337,light aircraft,Aircraft,1977,Yes,1,No,1977,No,Second hand,0.35,0.14,0.14,No
Chile,Cessna-337,light aircraft,Aircraft,1996,Yes,1,No,1997,No,Second hand,0.35,0.14,0.14,No
